,lake_D,temp_D,rain_D,gps24_D,gps34_D,gps36_D,gps37_D
2007-06-14,25.73799999999983,3.526,0.5,0.0,0.0,0.0,0.0
2007-06-15,26.14061527777778,7.312124999999999,0.05416666666666667,0.033048488048774936,0.01664083715099465,0.010967311804167134,0.012694639654378538
2007-06-16,26.77019999999992,3.846458333333333,1.0291666666666666,0.09928736427375011,0.05449420616494457,0.02779990502605579,0.0342849026810187
2007-06-17,27.141739583333326,4.365333333333334,0.0,0.13787575144384734,0.07521272303543713,0.030624380828295692,0.0065327368410573105
2007-06-18,27.628877083333332,5.928458333333334,0.03333333333333333,0.18026097212985048,0.09102698804861428,0.03793624783336293,0.022096201790086433
2007-06-19,28.157041666666615,8.582250000000002,0.09166666666666667,0.23485948854399744,0.13662860684298558,0.05659932836999421,0.049324951780372286
2007-06-20,28.814920833333282,10.681708333333335,0.0,0.2897859414491435,0.14579226638809842,0.07263470155912068,0.0749516679398754
2007-06-21,29.50503749999999,10.689416666666666,0.26666666666666666,0.337583023453264,0.17182500202335121,0.08893074662154322,0.09864170062287483
2007-06-22,30.011553472222168,9.366458333333332,0.16666666666666666,0.3613618801898803,0.18144228902408285,0.08336765555310309,0.10171488791650891
2007-06-23,30.32127916666657,6.6974583333333335,0.029166666666666664,0.39672934094201245,0.19444044401256483,0.08249916214144479,0.10837994869043766
2007-06-24,30.70162430555551,5.357500000000001,0.0,0.4526571097869501,0.22186760536722056,0.09646446714950623,0.13758654071700405
2007-06-25,31.28171527777776,9.017624999999997,0.07916666666666668,0.5013401257669879,0.24875916426706732,0.11033860993442116,0.1624645716563275
2007-06-26,31.88170694444442,6.936500000000001,0.7916666666666666,0.5462972678359619,0.27182605741520033,0.11718698272107832,0.18257045652237658
2007-06-27,32.16243402777759,3.346666666666667,0.0,0.5729200299299774,0.2832088641491794,0.11555903701745324,0.18701394264257876
2007-06-28,32.35939374999987,0.8609999999999999,0.0,0.6063065170755982,0.29563118012093886,0.11560124128842414,0.19573717120640083
2007-06-29,32.60386805555544,3.2678749999999996,0.0,0.6439763412529069,0.31368940649233523,0.11976851443409273,0.21070509211896327
2007-06-30,32.83894513888892,6.497041666666668,0.0,0.6834294918494265,0.3254129440499254,0.12315041004620361,0.22393074349774258
2007-07-01,32.85748819444434,8.274291666666665,0.0,0.7310706517162605,0.346941476794431,0.13296621233964848,0.2459974250844411
2007-07-02,33.04224583333329,8.122208333333333,0.4583333333333333,0.7645631995873418,0.36355603187116237,0.15653975481661084,0.26067261180060597
2007-07-03,33.3385486111111,5.108166666666667,0.3666666666666667,0.7954535679437905,0.3713265903022731,0.15617436007111093,0.2640214159731644
2007-07-04,33.51723324396797,5.080041666666666,0.029166666666666664,0.823751202948947,0.38059024172873285,0.15368992702885798,0.2682097719601255
2007-07-05,33.518200694444396,1.1108333333333336,0.024999999999999998,0.8502576358204912,0.390129559854754,0.14763232985448535,0.2693809986916286
2007-07-06,33.20848472222204,1.5460416666666668,0.004166666666666667,0.9088620326109302,0.41368366347053137,0.15139995103581666,0.28549449202129895
2007-07-07,32.291577083333316,7.069041666666667,0.04583333333333334,1.048353932507485,0.4823740712147007,0.19752745644027578,0.351735609564482
2007-07-08,29.398495138888826,8.403875000000001,0.0,1.1691912119484833,0.5894002819347468,0.27034173340982787,0.4344918001786308
2007-07-09,24.099543055555507,7.4956666666666685,0.32083333333333336,1.2453209885729504,0.6550617143656035,0.3462607689343264,0.5052459811203317
2007-07-10,21.061104861111065,3.661208333333333,0.19583333333333333,1.2811332516537628,0.6808804732711077,0.3827623136078572,0.5326545349226239
2007-07-11,18.26524166666659,-0.7683333333333334,0.04583333333333334,1.3169580120296023,0.6962061891346364,0.3958978777166914,0.5458215621127656
2007-07-12,14.88032222222215,0.79,0.041666666666666664,1.358594606819266,0.7173269296766258,0.40473934323825655,0.5640623066888544
2007-07-13,8.552571527777763,3.6999999999999997,0.0,1.4042531239919112,0.7342680067638786,0.4198749595781325,0.5858942574957806
2007-07-14,4.68834027777775,8.49841666666667,0.0,1.460126331715178,0.7623614083545788,0.44065757231736263,0.618776713509248
2007-07-15,0.03258563535911176,9.998958333333334,0.0,1.5158768964208948,0.7943231461119762,0.4629879559290128,0.6501968931939974
2007-07-16,,10.323749999999999,0.0,1.567533932352605,0.8282077587564222,0.5002921840725819,0.6908902014994843
2007-07-17,,11.667791666666666,0.0,1.5963754601557874,0.8398646677612026,0.5020230242376116,0.6881805485053947
2007-07-18,,11.072083333333332,0.0,1.6343494462262098,0.8589114465732451,0.5147963748916506,0.7004422952037037
2007-07-19,,10.044458333333333,0.0,1.6711204755467073,0.8787102247389206,0.5296198977795584,0.7157145732748423
2007-07-20,,11.067083333333334,0.14583333333333334,1.696712084683379,0.8920035602155181,0.5366134322619376,0.7208880512224829
2007-07-21,,9.201833333333335,0.06666666666666667,1.7281167915203124,0.9052966581971568,0.5452631616406386,0.7302675364611828
2007-07-22,,9.346041666666666,0.3625,1.7460290957755442,0.9326189319192747,0.5493142383530424,0.7345947339817441
2007-07-23,,6.465347826086957,0.004347826086956522,,0.9534348094950045,0.5649474847948517,0.7409596885033698
