,lake_H,temp_H,rain_H,gps24_H,gps34_H,gps36_H,gps37_H
2007-06-14 00:00:00,25.73799999999983,3.526,0.5,0.0,0.0,0.0,0.0
2007-06-14 01:00:00,25.749152542372833,3.427,0.0,0.0012993840301078984,-0.0012754738361246956,0.000494752802577421,0.0010948376868050171
2007-06-14 02:00:00,25.76788524590164,4.535,0.0,0.003752934866787835,0.0013567379517378166,0.002750519656611829,0.0014706623294744089
2007-06-14 03:00:00,25.78565,3.891,0.0,0.004395102113443076,0.0012919728662420583,0.00504698727887802,0.006341442943014705
2007-06-14 04:00:00,25.801864406779597,,,0.0053113226104946525,-0.0002822330065567468,-0.00043641585637191577,0.003028942471084953
2007-06-14 05:00:00,25.82175409836064,4.283,0.0,0.013196923833668224,0.004019294408589625,0.004172513389983965,0.005580402676384506
2007-06-14 06:00:00,25.85704999999999,4.3095,0.0,0.013849978275044549,0.006136234517965112,0.004326039508239758,0.004879706394990553
2007-06-14 07:00:00,25.888728813559283,6.041,0.0,0.010648466941424236,0.004014012625555558,0.0006292113166460183,0.004304432878031053
2007-06-14 08:00:00,25.924131147540923,7.84,0.0,0.01774946851071104,0.008278985760839632,0.006372136298107102,0.008887783347007178
2007-06-14 09:00:00,25.958133333333286,,,0.020140321303646735,0.009715794270247755,0.003829652667905938,0.007655093581854929
2007-06-14 10:00:00,25.994796610169473,8.48,0.0,0.0195894157531415,,0.0022738205042387404,0.010485739648376341
2007-06-14 11:00:00,26.025278688524544,9.23,0.0,,,,
2007-06-14 12:00:00,26.0696333333333,9.955,0.0,,,,
2007-06-14 13:00:00,26.118542372881283,11.03,0.0,,,,
2007-06-14 14:00:00,26.18224590163931,10.57,0.0,,,,
2007-06-14 15:00:00,26.259183333333326,9.99,0.0,,,,
2007-06-14 16:00:00,26.313813559321993,,,,,,
2007-06-14 17:00:00,26.360098360655705,9.46,0.0,,,,
2007-06-14 18:00:00,26.402249999999935,9.345,0.05,,,,
2007-06-14 19:00:00,26.44398305084743,7.67,0.0,0.0644343721337864,0.03307074086880348,0.016126896952318812,0.020316708163701812
2007-06-14 20:00:00,26.47804918032784,8.28,0.0,0.07178032437188628,0.03726712219958226,0.022827792502707903,0.02387097412633528
2007-06-14 21:00:00,26.506699999999963,,,0.07184215287534641,0.03892215857249901,0.02625040616100799,0.026379929905112075
2007-06-14 22:00:00,26.532135593220318,7.99,0.1,0.0740780302522609,0.04031995657788019,0.02554979024005514,0.026985500047458588
2007-06-14 23:00:00,26.554459016393444,5.374,0.2,0.0735058710003413,0.03910456344949829,0.026510010424560977,0.027132494209520266
2007-06-15 00:00:00,26.57473333333329,5.0905000000000005,0.45,0.07576986201285185,0.039823439903397304,0.025476301008711108,0.028950909016307338
2007-06-15 01:00:00,26.59249152542367,7.72,0.0,,0.04233099301995786,0.029251505401617403,0.02945065034075954
2007-06-15 02:00:00,26.60798360655737,6.027,0.0,,0.044360883099679956,0.03093296053231087,0.030567355338817853
2007-06-15 03:00:00,26.622699999999956,5.522,0.2,,0.04076014014259023,0.026705603956267334,0.02660975731595083
2007-06-15 04:00:00,26.63544067796604,,,,0.042784847146606804,0.026640540794947164,0.027870892526614392
2007-06-15 05:00:00,26.647622950819667,5.861,1.2,0.08458425710277992,0.044045349540862415,0.02957682789551903,0.030079747093019797
2007-06-15 06:00:00,26.65891666666662,4.7805,2.45,0.08408084113955952,0.04277884170410886,0.024807171804916407,0.026475985679871427
2007-06-15 07:00:00,26.66959322033895,3.544,1.7,0.0838902473131158,0.04526215904092082,0.029102636745310783,0.030638584649915052
2007-06-15 08:00:00,26.67886885245898,5.618,0.2,0.08566296500506397,0.04344094919622006,0.028158179679027902,0.029871263047971195
